configuration: honeycomb    lattice dimensions: 200 × 200      iterations: 200 + 1500     Atom number: 80000
init: afm1     parameters(meV): -1.0     0.0      0.0     
           Round       magnetism0       magnetism1
               0              1.0             -1.0
     Temperature       magnetism0       magnetism1  susceptibility0  susceptibility1    specific heat          time(s)
            0.00         1.000000        -1.000000         0.000000         0.000000         0.000000         2.149400
            1.00         1.000000        -1.000000         0.000000         0.000000         0.000000         3.728010
            2.00         1.000000        -1.000000         0.000000         0.000000         0.000000         3.725450
            3.00         1.000000        -1.000000         0.000000         0.000000         0.000000         3.723263
            4.00         1.000000        -1.000000         0.000002         0.000000         0.000000         3.722427
            5.00         0.999998        -0.999998         0.000045         0.000034         0.000012         3.728113
            6.00         0.999980        -0.999982         0.000316         0.000267         0.000073         3.728015
            7.00         0.999894        -0.999894         0.001368         0.001414         0.000327         3.723593
            8.00         0.999606        -0.999594         0.004652         0.004640         0.000842         3.723146
            9.00         0.998871        -0.998869         0.011918         0.011405         0.002087         3.728409
           10.00         0.997316        -0.997304         0.024082         0.025498         0.003801         3.729745
           11.00         0.994378        -0.994376         0.048551         0.048229         0.007429         3.732994
           12.00         0.989336        -0.989340         0.084200         0.081843         0.011684         3.737534
           13.00         0.980933        -0.980949         0.139633         0.137273         0.017042         3.746604
           14.00         0.967116        -0.967096         0.220811         0.227165         0.025288         3.753705
           15.00         0.944662        -0.944690         0.382026         0.384095         0.038104         3.765070
           15.00         0.944452        -0.944450         0.383776         0.390626         0.039038         3.764421
           15.20         0.938453        -0.938476         0.441464         0.431870         0.044504         3.767839
           15.40         0.931636        -0.931566         0.486948         0.485539         0.044585         3.771105
           15.60         0.923334        -0.923351         0.525158         0.522194         0.042421         3.776212
           15.80         0.914972        -0.914928         0.723321         0.719035         0.057918         3.781613
           16.00         0.903588        -0.903631         0.856932         0.838453         0.058545         3.782338
           16.20         0.893350        -0.893376         0.877985         0.890193         0.062261         3.787358
           16.40         0.879610        -0.879577         1.008788         0.994160         0.059095         3.792046
           16.60         0.864177        -0.864157         1.661993         1.664320         0.084955         3.799611
           16.80         0.841758        -0.841784         2.042247         2.056450         0.093192         3.807849
           17.00         0.807083        -0.807074         4.545311         4.564022         0.102158         3.818284
           17.20         0.786119        -0.786146         5.218213         5.249023         0.103788         3.826539
           17.40         0.720064        -0.720090         8.955347         8.958597         0.160336         3.841530
           17.60         0.625509        -0.625502        13.141467        13.256265         0.124334         3.858393
           17.80         0.482055        -0.482012        12.632655        12.601510         0.132187         3.880544
           18.00         0.257865        -0.257874        74.583499        74.602111         0.144939         3.898825
           18.20         0.069865        -0.069900        91.531458        91.535412         0.120431         3.927217
           18.40         0.001245        -0.001266       119.597752       119.447277         0.088878         3.944679
           18.60         0.059164        -0.059116        34.419430        34.391413         0.072687         3.968243
           18.80        -0.007498         0.007540        36.569478        36.612793         0.081702         3.974503
           19.00        -0.022748         0.022827        19.778264        19.826512         0.073439         3.996418
           19.20        -0.006659         0.006638        26.283203        26.103528         0.063784         4.014870
           19.40        -0.000235         0.000217        19.889693        19.850456         0.069713         4.033845
           19.60         0.006479        -0.006584        15.168163        15.080222         0.064697         4.058265
           19.80         0.002127        -0.002211        16.215596        16.152086         0.054341         4.063837
           20.00        -0.000846         0.000771        12.030137        12.070574         0.057958         4.077655
           20.20        -0.006145         0.006223         9.854377         9.851470         0.056851         4.106506
           20.40        -0.000271         0.000339        12.780450        12.718556         0.049386         4.108777
           20.60        -0.001220         0.001232         9.885057         9.820467         0.048280         4.118328
           20.80        -0.002500         0.002440         8.404855         8.379516         0.047541         4.278260
           21.00        -0.002041         0.002167         8.007212         7.994076         0.045008         4.161920
           22.00        -0.002266         0.002244         6.779881         6.834198         0.040878         4.263424
           23.00         0.001293        -0.001264         3.823005         3.794782         0.029708         4.406312
           24.00         0.000234        -0.000233         3.678480         3.673690         0.026507         4.590705
           25.00        -0.000339         0.000319         3.011197         2.987644         0.025071         4.756672
