Title,Pages
The Algorithm Design Manual,748
Software Engineering at Google,599
Site Reliability Engineering,550
Hands-on Machine Learning,850
Clean Code,464
Code Complete,960
Web Operations,338
Consciousness Explained,528
I am a Strange Loop,432
The Information,544
The Fractal Geometry of Nature,500
Consider Phlebas,544
I Heart Logs,60
Kraken,528
Noise,464
Snow Crash,440
