configuration: square       lattice dimensions: 200 × 200      iterations: 200 + 1000     Atom number: 80000
init: fm       parameters(meV): 1.0      0.0      0.0     
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         1.228933
            1.00         1.000000         0.000000         0.000000         1.650337
            2.00         1.000000         0.000000         0.000000         1.646800
            3.00         1.000000         0.000000         0.000000         1.646138
            4.00         1.000000         0.000000         0.000000         1.650921
            5.00         1.000000         0.000000         0.000000         1.646441
            6.00         1.000000         0.000005         0.000006         1.680774
            7.00         0.999996         0.000046         0.000043         1.648548
            8.00         0.999982         0.000203         0.000152         1.648756
            9.00         0.999934         0.000668         0.000405         1.647750
           10.00         0.999805         0.001755         0.001043         1.649510
           11.00         0.999546         0.003863         0.002177         1.652041
           12.00         0.999050         0.007515         0.003973         1.650276
           13.00         0.998215         0.012638         0.005615         1.653112
           14.00         0.996875         0.020801         0.009830         1.663089
           15.00         0.994964         0.031140         0.013843         1.658042
           16.00         0.992213         0.045091         0.018963         1.663568
           17.00         0.988423         0.062158         0.024961         1.689474
           18.00         0.983274         0.089123         0.029552         1.680766
           19.00         0.976450         0.113701         0.041184         1.687814
           20.00         0.967426         0.154439         0.053509         1.705704
           21.00         0.955280         0.207224         0.070179         1.724614
           22.00         0.939445         0.279917         0.081400         1.753775
           23.00         0.916789         0.390042         0.113991         1.780645
           24.00         0.885027         0.597449         0.135531         1.801562
           25.00         0.832757         1.221082         0.187640         1.839866
           26.00         0.721989         4.105399         0.258125         1.893624
           27.00         0.103089       109.546138         0.224047         1.947243
           28.00         0.014983        20.228774         0.191306         1.982033
           29.00        -0.003152        11.684204         0.139550         2.005673
           30.00        -0.002905         6.906108         0.108738         2.014609
           31.00         0.001550         5.176408         0.097612         2.033546
           32.00         0.000409         4.272644         0.082993         2.046819
           33.00        -0.000172         3.508379         0.070545         2.059052
           34.00        -0.000924         2.625752         0.066651         2.081785
           35.00        -0.000061         2.520745         0.057213         2.078262
