configuration: triangular   lattice dimensions: 200 × 200      iterations: 200 + 1000     Atom number: 80000
init: fm       parameters(meV): 1.0      0.0      0.0     
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         1.438746
            2.00         1.000000         0.000000         0.000000         1.963700
            4.00         1.000000         0.000000         0.000000         1.963382
            6.00         1.000000         0.000000         0.000000         1.962295
            8.00         1.000000         0.000000         0.000000         1.963067
           10.00         0.999998         0.000036         0.000011         1.962244
           12.00         0.999981         0.000292         0.000081         1.963326
           14.00         0.999905         0.001256         0.000264         1.963300
           16.00         0.999662         0.004007         0.000811         1.965290
           18.00         0.999099         0.009220         0.001715         1.969450
           20.00         0.997999         0.018505         0.003123         1.976104
           22.00         0.996110         0.033619         0.005201         1.988278
           24.00         0.993116         0.052453         0.007424         2.006485
           26.00         0.988667         0.081676         0.011308         2.032077
           28.00         0.982314         0.117204         0.016208         2.062119
           30.00         0.973488         0.165727         0.020344         2.100946
           32.00         0.961549         0.230058         0.026906         2.147466
           34.00         0.944817         0.314696         0.036121         2.201841
           36.00         0.921668         0.416479         0.040673         2.268426
           38.00         0.887026         0.637136         0.052811         2.344497
           38.20         0.882019         0.739827         0.064411         2.358051
           38.40         0.877689         0.713962         0.057597         2.366306
           38.60         0.872828         0.810352         0.069347         2.377710
           38.80         0.867260         0.929537         0.071922         2.384805
           39.00         0.862158         0.903785         0.071974         2.393070
           39.20         0.855853         0.946392         0.068838         2.405976
           39.40         0.850158         1.039082         0.086334         2.417761
           39.60         0.842741         1.180916         0.081482         2.421724
           39.80         0.837134         1.057855         0.072643         2.432351
           40.00         0.827839         1.544914         0.089375         2.442965
           40.20         0.818639         1.644619         0.092385         2.460315
           40.40         0.810867         2.302757         0.116699         2.472184
           40.60         0.799698         1.714607         0.081158         2.483831
           40.80         0.790803         1.933544         0.090515         2.496784
           41.00         0.776159         2.347327         0.103063         2.512005
           41.20         0.761127         2.874413         0.116799         2.518202
           41.40         0.741765         3.803139         0.106404         2.533505
           41.60         0.716140         7.320302         0.148125         2.553236
           41.80         0.709873         5.091478         0.118545         2.560872
           42.00         0.647396        20.498512         0.154322         2.579908
           42.20         0.610478         7.279330         0.125983         2.604301
           42.40         0.526791        20.806613         0.145113         2.623327
           42.60         0.379376        38.085245         0.149169         2.643880
           42.80         0.438955        19.739088         0.116444         2.661301
           43.00         0.106455       234.534884         0.150802         2.678335
           43.20         0.021030        41.556362         0.107106         2.696219
           43.40        -0.074486        57.778414         0.113181         2.698453
           43.60         0.021126       116.456457         0.121464         2.707840
           43.80         0.024239        88.868317         0.114404         2.729216
           44.00         0.002612        33.516634         0.080714         2.733795
           44.20        -0.039366        49.147105         0.085806         2.745543
           44.40        -0.013030        26.404556         0.094342         2.754688
           44.60        -0.002518        39.676585         0.079085         2.759778
           44.80        -0.017013        25.726129         0.081774         2.769843
           45.00         0.003754        29.708641         0.077877         2.785903
           45.20        -0.006628        15.577118         0.089256         2.788993
           45.40         0.012350        17.394634         0.072884         2.794186
           45.60         0.007309        15.461666         0.073490         2.800497
           45.80         0.002112        13.758614         0.071025         2.806531
           46.00        -0.008069        13.333532         0.063600         2.816832
           46.20         0.000929        26.757268         0.077447         2.830956
           46.40         0.013890        12.751563         0.068844         2.825546
           46.60         0.004537        15.749017         0.061384         2.840190
           46.80        -0.017170        16.044448         0.063596         2.843790
           47.00        -0.006706        10.269658         0.051018         2.844603
           47.20        -0.000805        14.332192         0.057392         2.847340
           47.40        -0.006204        15.409503         0.055290         2.860584
           47.60         0.007124        11.908592         0.058840         2.862422
           47.80        -0.005236         8.254701         0.052904         2.864851
           48.00         0.000553        11.379827         0.048768         2.881168
           49.00         0.002788         8.792797         0.049654         2.903087
           50.00         0.002519         7.435669         0.042306         2.924137
           51.00        -0.000054         5.375150         0.034319         2.951237
           52.00         0.000972         4.190834         0.031283         2.946070
           53.00         0.000015         3.817268         0.029462         2.970537
           54.00         0.000213         4.029933         0.031605         2.988235
           55.00        -0.001812         3.377644         0.030030         3.000021
